,0
199,Ideal
200,Ideal
201,Dry
202,Dry
203,Dry
204,Dry
205,Dry
206,Dry
207,Dry
208,Dry
209,Dry
210,Dry
211,Ideal
212,Ideal
213,Ideal
214,Ideal
215,Ideal
216,Slightly Elevated
217,Slightly Elevated
218,Elevated
219,Elevated
220,Elevated
221,Elevated
222,Slightly Elevated
223,Ideal
224,Ideal
225,Ideal
226,Ideal
227,Ideal
228,Ideal
229,Ideal
230,Ideal
231,Ideal
232,Ideal
233,Ideal
234,Ideal
235,Ideal
236,Ideal
237,Ideal
238,Ideal
239,Ideal
240,Ideal
241,Slightly Elevated
242,Slightly Elevated
243,Ideal
244,Ideal
245,Ideal
246,Slightly Elevated
247,Ideal
248,Ideal
249,Ideal
250,Ideal
251,Ideal
252,Ideal
253,Ideal
254,Ideal
255,Ideal
256,Ideal
257,Ideal
258,Ideal
259,Ideal
260,Ideal
261,Ideal
262,Ideal
263,Ideal
264,Ideal
265,Elevated
266,Ideal
267,Ideal
268,Slightly Elevated
269,Slightly Elevated
270,Slightly Elevated
271,Ideal
272,Ideal
273,Ideal
274,Ideal
275,Dry
276,Dry
277,Dry
278,Dry
279,Ideal
280,Ideal
281,Ideal
282,Ideal
283,Ideal
284,Ideal
285,Slightly Elevated
286,Slightly Elevated
287,Elevated
288,Elevated
289,High
290,Elevated
291,Elevated
292,High
293,High
294,High
295,High
296,Elevated
297,Elevated
298,Ideal
299,Ideal
300,Ideal
301,Ideal
302,Ideal
303,Dry
304,Ideal
305,Ideal
306,Ideal
307,Ideal
308,Ideal
309,Ideal
310,Ideal
311,Ideal
312,Slightly Elevated
313,Slightly Elevated
314,Ideal
315,Ideal
316,Slightly Elevated
317,Slightly Elevated
318,Slightly Elevated
319,Ideal
320,Ideal
321,Ideal
322,Slightly Elevated
323,Elevated
324,Elevated
325,Elevated
326,Slightly Elevated
327,Slightly Elevated
328,Slightly Elevated
329,Elevated
330,Slightly Elevated
331,Slightly Elevated
332,Slightly Elevated
333,Ideal
334,Elevated
335,Elevated
336,High
337,High
338,High
339,High
340,High
341,High
342,High
343,High
344,High
345,High
346,Elevated
347,Elevated
348,Elevated
349,High
350,High
351,Elevated
352,High
353,High
354,High
355,High
356,High
357,Elevated
358,Elevated
359,High
360,High
361,High
362,High
363,High
364,High
365,High
366,High
367,High
368,High
369,Ideal
370,Ideal
371,Slightly Elevated
372,High
373,High
374,Elevated
375,High
376,High
377,High
378,High
379,High
380,High
381,High
382,High
383,High
384,High
385,High
386,High
387,High
388,High
389,High
390,High
391,High
392,High
393,High
394,High
395,High
396,High
397,High
398,High
399,High
400,High
401,High
402,High
403,High
404,High
405,High
406,High
407,High
408,High
409,High
410,High
411,High
412,High
413,High
414,High
415,High
416,High
417,High
418,High
419,High
420,Elevated
421,Elevated
422,Elevated
423,Elevated
424,Elevated
425,High
426,Elevated
427,High
428,High
429,High
430,High
431,High
432,High
433,High
434,High
435,High
436,High
437,High
438,Elevated
439,Elevated
440,Elevated
441,Slightly Elevated
442,Ideal
443,Ideal
444,Ideal
445,Ideal
446,Ideal
447,Ideal
448,Ideal
449,Ideal
450,Ideal
451,Ideal
452,Elevated
453,High
454,High
455,High
456,High
457,High
458,High
459,Elevated
460,Elevated
461,Slightly Elevated
462,Ideal
463,Ideal
464,Ideal
465,Ideal
466,Ideal
467,Ideal
468,Ideal
469,Ideal
470,Ideal
471,Ideal
472,Slightly Elevated
473,Slightly Elevated
474,Ideal
475,Ideal
476,Slightly Elevated
477,Elevated
478,Elevated
479,Slightly Elevated
480,Elevated
481,High
482,High
483,Elevated
484,High
485,High
486,High
487,High
488,Ideal
489,Ideal
490,Dry
491,Ideal
492,Ideal
493,Ideal
494,Ideal
495,Ideal
496,Ideal
497,Ideal
498,Ideal
499,Ideal
500,Ideal
501,Ideal
502,Slightly Elevated
503,Slightly Elevated
504,Slightly Elevated
505,Slightly Elevated
506,Ideal
507,Ideal
508,Ideal
509,Slightly Elevated
510,High
511,High
512,Slightly Elevated
513,Ideal
514,Ideal
515,Ideal
516,Ideal
517,Ideal
518,Ideal
519,Ideal
520,Ideal
521,Ideal
522,Ideal
523,Ideal
524,Ideal
525,Ideal
526,Ideal
527,Slightly Elevated
528,Ideal
529,Slightly Elevated
530,Ideal
531,Ideal
532,Slightly Elevated
533,High
534,High
535,High
536,Ideal
537,Ideal
538,Ideal
539,Ideal
540,Ideal
541,Ideal
542,Ideal
543,Ideal
544,Ideal
545,Ideal
546,Ideal
547,Slightly Elevated
548,Ideal
549,Ideal
550,Ideal
551,Ideal
552,Ideal
553,High
554,High
555,High
556,High
557,High
558,High
559,High
560,Ideal
561,Ideal
562,Dry
563,Dry
564,Dry
565,Dry
566,Dry
567,Dry
568,Dry
569,Ideal
570,Ideal
571,Ideal
572,Ideal
573,Ideal
574,Slightly Elevated
575,Slightly Elevated
576,Slightly Elevated
577,Elevated
578,Elevated
579,Elevated
580,High
581,High
582,High
583,Elevated
584,Ideal
585,High
586,High
587,High
588,High
589,High
590,High
591,High
592,High
593,High
594,High
595,High
596,High
597,High
598,High
599,High
600,High
601,High
602,Elevated
603,High
604,High
605,High
606,High
607,High
608,High
609,Elevated
610,Slightly Elevated
611,Slightly Elevated
612,Ideal
613,Ideal
614,Ideal
615,Ideal
616,Ideal
617,Ideal
618,Slightly Elevated
619,Slightly Elevated
620,Slightly Elevated
621,Elevated
622,Elevated
623,High
624,Elevated
625,Elevated
626,Elevated
627,Elevated
628,High
629,Slightly Elevated
630,Slightly Elevated
631,Slightly Elevated
632,Ideal
633,Dry
634,Dry
635,Dry
636,Dry
637,Dry
638,Dry
639,Ideal
640,Slightly Elevated
641,Slightly Elevated
642,Elevated
643,High
644,High
645,Elevated
646,Elevated
647,Slightly Elevated
648,Ideal
649,Ideal
650,Ideal
651,Elevated
652,Slightly Elevated
653,Slightly Elevated
654,Slightly Elevated
655,Ideal
656,Ideal
657,Ideal
658,Dry
659,Dry
660,Dry
661,Dry
662,Dry
663,Dry
664,Ideal
665,Ideal
666,Ideal
667,Ideal
668,Ideal
669,Ideal
670,Ideal
671,Ideal
672,Ideal
673,Slightly Elevated
674,Ideal
675,Elevated
676,Slightly Elevated
677,Slightly Elevated
678,Ideal
679,Ideal
680,Ideal
681,Dry
682,Dry
683,Dry
684,Dry
685,Dry
686,Dry
687,Dry
688,Ideal
689,Ideal
690,Ideal
691,Ideal
692,Ideal
693,Ideal
694,Slightly Elevated
695,Elevated
696,Elevated
697,High
698,High
699,Elevated
700,High
701,High
702,High
703,Elevated
704,Ideal
705,Dry
706,Dry
707,Dry
708,Dry
709,Dry
710,Dry
711,Dry
712,Dry
713,Ideal
714,Ideal
715,Ideal
716,Ideal
717,Ideal
718,Slightly Elevated
719,Slightly Elevated
720,Slightly Elevated
721,Elevated
722,Elevated
723,High
724,High
725,High
726,High
727,Elevated
728,Slightly Elevated
729,Ideal
730,Ideal
731,Ideal
732,Ideal
733,Ideal
734,Ideal
735,Ideal
736,Ideal
737,Ideal
738,Slightly Elevated
739,Slightly Elevated
740,Slightly Elevated
741,Elevated
742,Elevated
743,Elevated
744,Elevated
745,High
746,High
747,High
748,High
749,High
750,High
751,Elevated
752,Slightly Elevated
753,Ideal
754,Ideal
755,Dry
756,Dry
757,Dry
758,Dry
759,Dry
760,Dry
761,Dry
762,Dry
763,Ideal
764,Ideal
765,Ideal
766,Ideal
767,Ideal
768,Slightly Elevated
769,Slightly Elevated
770,Elevated
771,Slightly Elevated
772,Elevated
773,Elevated
774,High
775,Slightly Elevated
776,Ideal
777,Dry
778,Dry
779,Dry
780,Ideal
781,Dry
782,Dry
783,Dry
784,Ideal
785,Ideal
786,Ideal
787,Ideal
788,Ideal
789,Slightly Elevated
790,Slightly Elevated
791,Slightly Elevated
792,Slightly Elevated
793,Slightly Elevated
794,Elevated
795,Elevated
796,High
797,High
798,Elevated
799,Slightly Elevated
800,Ideal
801,Ideal
802,Ideal
803,Dry
804,Ideal
805,Ideal
806,Ideal
807,Dry
808,Ideal
809,Ideal
810,Ideal
811,Slightly Elevated
812,Slightly Elevated
813,Ideal
814,Ideal
815,Slightly Elevated
816,Ideal
817,Ideal
818,Ideal
819,Ideal
820,Ideal
821,Ideal
822,Ideal
823,Ideal
824,Ideal
825,Slightly Elevated
826,Slightly Elevated
827,Slightly Elevated
828,Ideal
829,Ideal
830,Ideal
831,Ideal
832,Ideal
833,Ideal
834,Slightly Elevated
835,Ideal
836,Ideal
837,Slightly Elevated
838,Ideal
839,Slightly Elevated
840,Elevated
841,Elevated
842,Elevated
843,Elevated
844,Elevated
845,Elevated
846,Elevated
847,Elevated
848,Slightly Elevated
849,Ideal
850,Ideal
851,Ideal
852,Dry
853,Dry
854,Dry
855,Ideal
856,Ideal
857,Ideal
858,Ideal
859,Ideal
860,Slightly Elevated
861,Slightly Elevated
862,Slightly Elevated
863,Slightly Elevated
864,Elevated
865,Elevated
866,Slightly Elevated
867,Elevated
868,Elevated
869,Elevated
870,Elevated
871,Slightly Elevated
872,Ideal
873,Ideal
874,Dry
875,Dry
876,Dry
877,Dry
878,Dry
879,Dry
880,Dry
881,Ideal
882,Ideal
883,Ideal
884,Ideal
885,Ideal
886,Slightly Elevated
887,Slightly Elevated
888,Slightly Elevated
889,Slightly Elevated
890,Elevated
891,Elevated
892,Elevated
893,Elevated
894,Elevated
895,Slightly Elevated
896,Ideal
897,Ideal
898,Dry
899,Dry
900,Dry
901,Dry
902,Dry
903,Dry
904,Dry
905,Dry
906,Ideal
907,Ideal
908,Ideal
909,Ideal
910,Ideal
911,Ideal
912,Ideal
913,Slightly Elevated
914,Elevated
915,Elevated
916,Elevated
917,High
918,High
919,Slightly Elevated
920,Ideal
921,Ideal
922,Dry
923,Dry
924,Dry
925,Dry
926,Dry
927,Dry
928,Dry
929,Dry
930,Ideal
931,Ideal
932,Ideal
933,Ideal
934,Ideal
935,Ideal
936,Slightly Elevated
937,Elevated
938,Elevated
939,Elevated
940,Elevated
941,Elevated
942,Elevated
943,Slightly Elevated
944,Ideal
945,Ideal
946,Dry
947,Dry
948,Dry
949,Dry
950,Dry
951,Dry
952,Dry
953,Ideal
954,Ideal
955,Ideal
956,Slightly Elevated
957,Elevated
958,Elevated
959,Elevated
960,Elevated
961,Elevated
962,Elevated
963,Elevated
964,Elevated
965,Elevated
966,Elevated
967,Elevated
968,Elevated
969,Slightly Elevated
970,Ideal
971,Ideal
972,Ideal
973,Dry
974,Dry
975,Ideal
976,Ideal
977,Ideal
978,Slightly Elevated
979,Slightly Elevated
980,Elevated
981,Slightly Elevated
982,Elevated
983,Slightly Elevated
984,Elevated
985,Elevated
986,Elevated
987,Elevated
988,Slightly Elevated
989,Elevated
990,Slightly Elevated
991,Slightly Elevated
992,Ideal
993,Ideal
994,Ideal
995,Ideal
996,Dry
997,Dry
998,Dry
999,Dry
1000,Ideal
1001,Ideal
1002,Slightly Elevated
1003,Slightly Elevated
1004,Slightly Elevated
1005,Slightly Elevated
1006,Elevated
1007,Elevated
1008,Elevated
1009,Elevated
1010,Elevated
1011,Elevated
1012,Elevated
1013,Elevated
1014,Elevated
1015,Elevated
1016,Slightly Elevated
1017,Ideal
1018,Ideal
1019,Ideal
1020,Ideal
1021,Dry
1022,Ideal
1023,Dry
1024,Ideal
1025,Ideal
1026,Ideal
1027,Slightly Elevated
1028,Slightly Elevated
1029,Slightly Elevated
1030,Slightly Elevated
1031,Slightly Elevated
1032,Slightly Elevated
1033,Slightly Elevated
1034,Slightly Elevated
1035,Elevated
1036,Elevated
1037,Elevated
1038,Elevated
1039,Slightly Elevated
1040,Ideal
1041,Ideal
1042,Ideal
1043,Dry
1044,Dry
1045,Dry
1046,Dry
1047,Dry
1048,Dry
1049,Ideal
1050,Ideal
1051,Ideal
1052,Ideal
1053,Slightly Elevated
1054,Slightly Elevated
1055,Slightly Elevated
1056,Slightly Elevated
1057,Slightly Elevated
1058,Elevated
1059,Elevated
1060,Elevated
1061,Elevated
1062,Elevated
1063,Slightly Elevated
1064,Ideal
1065,Ideal
1066,Dry
1067,Dry
1068,Dry
1069,Dry
1070,Dry
1071,Dry
1072,Dry
1073,Dry
1074,Ideal
1075,Ideal
1076,Ideal
1077,Ideal
1078,Ideal
1079,Ideal
1080,Ideal
1081,Slightly Elevated
1082,Slightly Elevated
1083,Slightly Elevated
1084,Slightly Elevated
1085,Slightly Elevated
1086,Slightly Elevated
1087,Slightly Elevated
1088,Ideal
1089,Ideal
1090,Elevated
1091,Elevated
1092,Ideal
1093,Dry
1094,Ideal
1095,Ideal
1096,Ideal
1097,Ideal
1098,Ideal
1099,Slightly Elevated
1100,Slightly Elevated
1101,Slightly Elevated
1102,Elevated
1103,Elevated
1104,Elevated
1105,Elevated
1106,High
1107,High
1108,Elevated
1109,Elevated
1110,High
1111,Elevated
1112,Slightly Elevated
1113,Ideal
1114,Ideal
1115,Ideal
1116,Ideal
1117,Ideal
1118,Ideal
1119,Ideal
1120,Ideal
1121,Slightly Elevated
1122,Slightly Elevated
1123,Slightly Elevated
1124,Slightly Elevated
1125,Slightly Elevated
1126,Elevated
1127,Elevated
1128,Elevated
1129,Elevated
1130,Elevated
1131,Elevated
1132,Elevated
1133,Elevated
1134,Elevated
1135,Elevated
1136,Slightly Elevated
1137,Slightly Elevated
1138,Ideal
1139,Ideal
1140,Ideal
1141,Ideal
1142,Ideal
1143,Ideal
1144,Ideal
1145,Ideal
1146,Ideal
1147,Slightly Elevated
1148,Slightly Elevated
1149,Slightly Elevated
1150,Elevated
1151,Elevated
1152,Slightly Elevated
1153,Elevated
1154,Elevated
1155,Elevated
1156,Elevated
1157,Elevated
1158,Elevated
1159,High
1160,High
1161,Elevated
1162,Elevated
1163,Slightly Elevated
1164,Slightly Elevated
1165,Elevated
1166,Elevated
1167,High
1168,High
1169,High
1170,High
1171,High
1172,High
1173,High
1174,High
1175,High
1176,High
1177,High
1178,High
1179,High
1180,Elevated
1181,High
1182,Elevated
1183,Elevated
1184,Slightly Elevated
1185,Ideal
1186,Ideal
1187,Ideal
1188,Ideal
1189,Dry
1190,Ideal
1191,Ideal
1192,Ideal
1193,Ideal
1194,Ideal
1195,Slightly Elevated
1196,Elevated
1197,Elevated
1198,Elevated
1199,Elevated
1200,Elevated
1201,Slightly Elevated
1202,Elevated
1203,Elevated
1204,Elevated
1205,High
1206,Elevated
1207,Elevated
1208,Slightly Elevated
1209,Ideal
1210,Ideal
1211,Slightly Elevated
1212,Ideal
1213,Slightly Elevated
1214,Ideal
1215,Ideal
1216,Ideal
1217,Slightly Elevated
1218,Slightly Elevated
1219,Slightly Elevated
1220,Slightly Elevated
1221,Elevated
1222,Elevated
1223,Elevated
1224,Elevated
1225,Slightly Elevated
1226,Elevated
1227,High
1228,Elevated
1229,High
1230,Elevated
1231,Slightly Elevated
1232,Ideal
1233,Ideal
1234,Dry
1235,Dry
1236,Dry
1237,Dry
1238,Dry
1239,Dry
1240,Ideal
1241,Ideal
1242,Ideal
1243,Ideal
1244,Slightly Elevated
1245,Slightly Elevated
1246,Slightly Elevated
1247,Elevated
1248,Elevated
1249,Elevated
1250,Elevated
1251,Elevated
1252,Elevated
1253,Elevated
1254,Ideal
1255,Ideal
1256,Dry
1257,Dry
1258,Dry
1259,Dry
1260,Dry
1261,Dry
1262,Dry
1263,Dry
1264,Dry
1265,Ideal
1266,Ideal
1267,Ideal
1268,Ideal
1269,Ideal
1270,Ideal
1271,Ideal
1272,Ideal
1273,Ideal
1274,Ideal
1275,Ideal
1276,Ideal
1277,Ideal
1278,Ideal
1279,Ideal
1280,Ideal
1281,Dry
1282,Dry
1283,Dry
1284,Dry
1285,Dry
1286,Dry
1287,Dry
1288,Dry
1289,Dry
1290,Dry
1291,Dry
1292,Dry
1293,Dry
1294,Dry
1295,Dry
1296,Ideal
1297,Ideal
1298,Ideal
1299,Ideal
1300,Ideal
1301,Ideal
1302,Ideal
1303,Dry
1304,Dry
1305,Dry
1306,Dry
1307,Dry
1308,Dry
1309,Dry
1310,Dry
1311,Dry
1312,Dry
1313,Dry
1314,Ideal
1315,Ideal
1316,Ideal
1317,Ideal
1318,Ideal
1319,Ideal
1320,Ideal
1321,Ideal
1322,Ideal
1323,Ideal
1324,Slightly Elevated
1325,Slightly Elevated
1326,Ideal
1327,Dry
1328,Dry
1329,Dry
1330,Dry
1331,Dry
1332,Dry
1333,Dry
1334,Dry
1335,Dry
1336,Dry
1337,Dry
1338,Ideal
1339,Ideal
1340,Ideal
1341,Ideal
1342,Ideal
1343,Ideal
1344,Slightly Elevated
1345,Slightly Elevated
1346,Slightly Elevated
1347,Slightly Elevated
1348,Elevated
1349,High
1350,Slightly Elevated
1351,Ideal
1352,Dry
1353,Dry
1354,Dry
1355,Dry
1356,Dry
