Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,RH_type,id
2004-03-14,03:00:00,2.4,1344.0,132,9.737786456670193,967.75,-200.0,920.5,-200.0,1619.75,1278.25,11.649999856949,0.8674492315744939,Elevated,82
2004-03-14,04:00:00,-200.0,1129.5,56,5.191654203204007,773.0,70.0,1130.25,82.0,1451.75,1050.5,12.099999904633,0.8603162131672637,Elevated,83
2004-03-14,05:00:00,1.2,1062.0,32,3.650423146324865,691.0,53.0,1271.5,70.0,1376.75,929.0,11.475000143051,0.8532753834381319,Elevated,84
2004-03-14,06:00:00,1.0,1075.75,29,2.4813419346402656,618.25,44.0,1395.25,63.0,1333.0,872.25,11.599999904633,0.8472636259100265,Elevated,85
2004-03-14,07:00:00,0.9,1028.25,27,2.4299844022774177,614.75,74.0,1383.5,67.0,1340.0,853.0,10.399999856949,0.8529987302926639,Elevated,86
2004-03-14,08:00:00,1.4,1154.5,36,4.210510136054915,722.25,101.0,1224.75,84.0,1413.75,959.25,11.574999809265,0.8530382230087753,Elevated,87
2004-03-14,09:00:00,1.6,1235.25,57,6.352276711074662,828.0,118.0,1055.25,83.0,1527.0,1093.25,12.424999952316,0.8627151273296463,Slightly Elevated,88
2004-03-14,10:00:00,2.2,1331.5,129,8.587110474608117,923.0,144.0,951.75,98.0,1613.75,1225.0,14.525000095367,0.8727816223552813,Slightly Elevated,89
2004-03-14,11:00:00,2.8,1444.75,148,10.859535166937011,1009.25,176.0,878.25,114.0,1696.0,1355.25,16.875000476837,0.8789310942666374,Ideal,90
2004-03-14,12:00:00,2.8,1415.5,145,10.659815662688954,1002.0,161.0,906.75,119.0,1676.5,1261.5,19.300000190735,0.8474048021414429,Ideal,91
2004-03-14,13:00:00,2.0,1281.25,93,7.540072456167103,880.0,113.0,1083.75,104.0,1525.0,980.0,21.174999713898,0.7811957165002227,Ideal,92
2004-03-14,14:00:00,1.8,1207.25,84,7.5045987950378565,878.5,103.0,1103.5,102.0,1489.5,872.25,21.424999713898,0.7615918767626616,Ideal,93
2004-03-14,15:00:00,1.9,1257.75,99,8.160112924625768,905.75,112.0,1081.25,107.0,1511.0,900.25,21.925000190735,0.7524589545694458,Dry,94
2004-03-14,16:00:00,3.0,1457.75,150,11.867358322901142,1045.0,170.0,973.75,129.0,1646.0,1098.5,22.224999904633,0.7516273241188697,Dry,95
2004-03-14,17:00:00,2.9,1437.75,156,12.033004745084428,1050.75,180.0,942.5,128.0,1667.5,1206.25,21.299999713898,0.7696154919144513,Ideal,96
2004-03-14,18:00:00,2.5,1477.75,122,12.163323306748472,1055.25,160.0,929.25,121.0,1670.75,1262.25,19.650000095367,0.8307061318496992,Ideal,97
2004-03-14,19:00:00,4.6,1807.5,262,20.57171487732563,1312.25,261.0,753.25,157.0,1992.75,1697.75,18.374999523163,0.8731957705577488,Ideal,98
2004-03-14,20:00:00,5.9,1898.0,341,23.142125805295404,1381.25,325.0,680.5,173.0,2102.75,1904.75,17.625,0.9209535360575977,Ideal,99
2004-03-14,21:00:00,3.4,1559.5,214,14.720453409836011,1139.75,217.0,783.75,146.0,1817.5,1648.0,16.650000095367,0.9319900473249648,Ideal,100
2004-03-14,22:00:00,2.1,1324.25,100,9.004199247323303,939.5,146.0,923.5,121.0,1587.0,1422.75,16.25,0.9341472131622557,Slightly Elevated,101
2004-03-14,23:00:00,2.2,1348.75,79,8.83888507899354,933.0,152.0,933.0,119.0,1616.5,1348.75,14.725000143051,0.9313856224921276,Slightly Elevated,102
2004-03-15,00:00:00,1.8,1238.75,66,7.3575603748787675,872.25,104.0,985.0,99.0,1546.5,1250.25,14.825000047684,0.9163543254683045,Slightly Elevated,103
2004-03-15,01:00:00,1.8,1239.0,73,6.918207216219388,853.25,106.0,1010.25,93.0,1543.25,1173.75,14.049999952316,0.9094489367663466,Slightly Elevated,104
2004-03-15,02:00:00,1.8,1223.75,66,6.958191195775006,855.0,108.0,998.25,88.0,1565.75,1148.75,13.350000143051,0.936085703142246,Elevated,105
2004-03-15,03:00:00,1.1,1078.25,44,4.429862930483551,734.0,-200.0,1128.25,-200.0,1486.75,1020.5,12.599999904633,0.9230174218998716,Elevated,106
2004-03-15,04:00:00,-200.0,1077.5,44,3.9959242929204266,710.5,66.0,1150.0,71.0,1467.5,1012.75,12.349999904633,0.9351122865764487,Elevated,107
2004-03-15,05:00:00,1.0,1074.5,39,3.8659143375749494,703.25,88.0,1155.75,74.0,1463.75,1010.0,11.899999856949,0.9375381769341324,Elevated,108
2004-03-15,06:00:00,1.4,1156.75,51,6.3853200900791585,829.5,138.0,1029.5,80.0,1584.0,1083.0,11.375,0.9475162243381903,High,109
2004-03-15,07:00:00,2.2,1314.0,107,9.685046806517573,965.75,228.0,896.75,89.0,1710.25,1234.75,11.324999809265,0.940095096018487,High,110
2004-03-15,08:00:00,5.5,1796.75,336,25.870457660998934,1451.0,360.0,652.0,114.0,2323.0,1679.5,12.400000095367,0.9169546941482681,Elevated,111
2004-03-15,09:00:00,8.1,1961.25,618,36.69206253067248,1701.0,478.0,536.75,149.0,2665.25,2184.25,14.774999856949,0.9076095360418625,Slightly Elevated,112
2004-03-15,10:00:00,5.8,1770.5,438,26.6360247644022,1470.0,394.0,621.5,157.0,2261.5,1973.0,17.400000095367,0.8992981706467373,Ideal,113
2004-03-15,11:00:00,4.2,1563.5,334,20.11092309343549,1299.5,319.0,709.75,155.0,2029.0,1798.25,19.800000190735,0.880059991386787,Ideal,114
2004-03-15,12:00:00,3.1,1430.0,221,14.096485799877708,1119.75,201.0,830.5,134.0,1783.25,1522.0,22.025000095367,0.8903685188126028,Ideal,115
2004-03-15,13:00:00,2.9,1417.25,207,14.9257192296359,1146.25,171.0,829.5,119.0,1830.5,1404.0,23.324999809265,0.9095992195673936,Ideal,116
2004-03-15,14:00:00,2.9,1400.25,191,15.436141471547911,1162.25,159.0,838.25,111.0,1828.5,1263.25,23.875,0.8756585288124981,Dry,117
2004-03-15,15:00:00,2.5,1317.25,185,12.09085021877653,1052.75,153.0,926.0,104.0,1706.75,1137.0,24.449999809265,0.873591912397843,Dry,118
2004-03-15,16:00:00,2.3,1317.75,141,11.524820242423965,1033.0,143.0,949.75,99.0,1675.0,1068.0,24.375,0.8847617117200978,Dry,119
2004-03-15,17:00:00,2.8,1445.25,214,14.759833471701361,1141.0,156.0,856.5,110.0,1823.5,1251.5,23.849999904633,0.913735211108514,Ideal,120
2004-03-15,18:00:00,6.1,1917.0,471,32.14884367945396,1600.5,314.0,631.25,162.0,2447.0,1843.25,22.549999237061,0.9546998207473483,Ideal,121
2004-03-15,19:00:00,8.0,2039.75,685,39.20233967931091,1754.25,404.0,542.25,187.0,2679.0,2122.25,20.425000667572,1.0086313341074233,Ideal,122
2004-03-15,20:00:00,6.5,1894.75,538,30.961305060452627,1573.25,320.0,565.0,165.0,2442.75,1991.5,18.275000095367,1.0945180933132785,Slightly Elevated,123
2004-03-15,21:00:00,4.2,1594.5,319,19.895621463254436,1293.5,256.0,678.25,145.0,2057.5,1707.0,16.650000095367,1.0786268914239705,Slightly Elevated,124
2004-03-15,22:00:00,3.2,1438.5,224,15.31585504960172,1158.5,193.0,764.25,125.0,1856.25,1494.25,15.699999809265,1.0653715549625937,Elevated,125
2004-03-15,23:00:00,1.4,1141.5,67,6.895403347240391,852.25,89.0,1008.25,101.0,1547.25,1164.25,15.250000238419,1.0579554990778919,Elevated,126
2004-03-16,00:00:00,2.1,1303.6666666667,155,11.139929168771717,1019.3333333333,127.0,852.33333333333,103.0,1731.3333333333,1271.6666666667,14.066666603088,1.049372403097042,Elevated,127
2004-03-16,01:00:00,1.2,1074.25,49,5.40550061636386,783.5,79.0,1097.75,88.0,1483.0,1039.75,14.825000047684,1.0148194658330398,Elevated,128
2004-03-16,02:00:00,0.8,968.0,29,2.810688037123539,640.0,43.0,1319.5,61.0,1385.75,866.75,14.75,0.9879081107816498,Slightly Elevated,129
2004-03-16,03:00:00,0.7,929.25,25,2.325061547147355,607.5,-200.0,1375.5,-200.0,1364.25,825.75,13.624999761581,0.9635549956184191,Elevated,130
2004-03-16,04:00:00,-200.0,941.0,25,2.5891783027743425,625.5,59.0,1315.75,59.0,1373.25,839.75,12.324999809265,0.9450361951968503,Elevated,131
2004-03-16,05:00:00,0.6,937.0,17,2.0087426345174735,584.75,38.0,1411.5,52.0,1348.0,792.5,12.75,0.9282898040213576,Elevated,132
2004-03-16,06:00:00,0.9,1017.0,27,3.4826893251173856,681.25,82.0,1245.75,64.0,1417.5,869.5,11.174999952316,0.9081071231015929,Elevated,133
2004-03-16,07:00:00,1.3,1171.25,50,5.131232180692032,770.0,99.0,1161.75,70.0,1466.75,930.0,10.975000143051,0.8705229495981881,Elevated,134
2004-03-16,08:00:00,3.4,1541.0,218,16.17445704918363,1185.0,263.0,770.0,97.0,1888.75,1406.5,11.674999952316,0.8719365877065632,Elevated,135
2004-03-16,09:00:00,3.7,1539.25,285,19.663493856394243,1287.0,229.0,697.5,95.0,2054.75,1507.0,13.625,0.8742650471769098,Slightly Elevated,136
2004-03-16,10:00:00,5.3,1734.75,437,25.05515030336349,1430.5,396.0,628.25,150.0,2211.0,1843.25,17.824999332428,0.8672254631723162,Ideal,137
2004-03-16,11:00:00,4.1,1571.0,327,20.003148782861153,1296.5,314.0,730.0,162.0,1972.75,1729.0,21.449999809265,0.8416712958240697,Ideal,138
2004-03-16,12:00:00,3.3,1451.75,283,18.347057576589474,1249.5,217.0,775.5,154.0,1868.25,1583.25,24.375,0.8230691655452694,Dry,139
2004-03-16,13:00:00,4.0,1579.0,366,22.308582975669996,1359.25,252.0,724.0,161.0,1997.75,1670.75,25.250000476837,0.8263807552458209,Dry,140
2004-03-16,14:00:00,3.8,1466.25,318,20.444779979264574,1308.75,263.0,772.5,161.0,1897.0,1491.25,25.825000286102,0.7589369630881299,Dry,141
2004-03-16,15:00:00,2.8,1279.75,228,14.610427960363092,1136.25,180.0,892.75,128.0,1675.25,1239.75,27.0,0.7093615130294146,Dry,142
2004-03-16,16:00:00,2.9,1407.0,201,16.553254344130867,1196.5,184.0,905.25,129.0,1758.75,1313.0,28.249999523163,0.7013857388336394,Dry,143
2004-03-16,17:00:00,2.9,1388.75,199,15.78318309681854,1173.0,190.0,898.25,133.0,1739.0,1363.25,27.974999904633,0.709825085363188,Dry,144
2004-03-16,18:00:00,3.4,1447.25,237,17.83994777641898,1234.75,184.0,858.75,139.0,1778.0,1295.75,23.900000095367,0.7518910408124666,Dry,145
2004-03-16,19:00:00,3.9,1551.0,261,19.09705933715707,1271.0,181.0,800.25,137.0,1874.5,1432.25,21.349999904633,0.8729931333855647,Ideal,146
2004-03-16,20:00:00,3.2,1473.5,230,15.766968720541028,1172.5,166.0,854.25,143.0,1776.0,1431.75,20.425000190735,0.870389489318189,Ideal,147
2004-03-16,21:00:00,5.1,1799.5,349,24.877671870607216,1426.0,317.0,700.0,177.0,2105.5,2033.5,19.025000095367,0.9007307308826996,Ideal,148
2004-03-16,22:00:00,2.6,1379.25,183,13.529604730694471,1101.25,184.0,817.5,138.0,1710.0,1601.75,17.925000190735,0.9341860450216591,Ideal,149
2004-03-16,23:00:00,1.7,1200.5,88,9.087345626567226,942.75,130.0,935.0,117.0,1559.75,1361.75,16.700000286102,0.9226499255272292,Ideal,150
2004-03-17,00:00:00,1.7,1204.75,85,8.630947011140279,924.75,132.0,922.0,107.0,1546.5,1314.25,15.524999856949,0.9271282297880028,Slightly Elevated,151
2004-03-17,01:00:00,1.2,1071.5,47,5.415775467693622,784.0,95.0,1065.5,90.0,1441.75,1113.75,15.475000143051,0.9058752804047421,Slightly Elevated,152
2004-03-17,02:00:00,0.9,997.75,34,4.050256979222614,713.5,70.0,1169.25,79.0,1383.25,991.5,14.125,0.8909558056211343,Slightly Elevated,153
2004-03-17,03:00:00,0.7,933.25,26,2.5816785814911887,625.0,-200.0,1291.5,-200.0,1331.5,883.75,13.050000190735,0.8666330082051409,Slightly Elevated,154
2004-03-17,04:00:00,-200.0,882.75,17,1.8989345905963815,576.5,54.0,1396.0,60.0,1303.25,808.25,12.650000333786,0.8446603528823093,Slightly Elevated,155
2004-03-17,05:00:00,0.5,868.75,11,1.6068282575436197,553.5,28.0,1459.5,40.0,1267.75,667.0,11.824999809265,0.8026319321159456,Slightly Elevated,156
2004-03-17,06:00:00,0.5,890.75,18,1.8956482143938895,576.25,46.0,1416.5,53.0,1289.25,733.0,11.900000095367,0.7978457040872352,Slightly Elevated,157
2004-03-17,07:00:00,1.6,1172.75,84,7.486888715241108,877.75,160.0,1038.0,84.0,1556.25,1051.75,9.9000000953674,0.7956455570632858,Elevated,158
2004-03-17,08:00:00,4.1,1587.25,260,21.358791467770352,1333.75,320.0,702.25,108.0,1998.75,1533.5,11.125,0.7957756867981807,Elevated,159
2004-03-17,09:00:00,6.6,1851.5,534,36.44841296784668,1695.75,377.0,552.75,127.0,2535.25,1931.0,14.124999761581,0.8019804174284915,Slightly Elevated,160
2004-03-17,10:00:00,4.3,1521.5,368,21.266624095947368,1331.25,280.0,702.5,134.0,2025.75,1733.75,17.699999809265,0.8048291453438373,Ideal,161
2004-03-17,11:00:00,2.9,1438.25,200,15.387978763390306,1160.75,221.0,818.5,135.0,1781.5,1595.0,21.10000038147,0.8264862161367829,Ideal,162
2004-03-17,12:00:00,2.5,1393.25,145,12.49907422494975,1066.75,210.0,905.0,142.0,1654.25,1489.75,24.300000190735,0.8471276904737085,Dry,163
2004-03-17,13:00:00,2.8,1452.0,188,15.108309746474148,1152.0,204.0,860.5,153.0,1747.0,1507.5,25.575000286102,0.8253948829277935,Dry,164
2004-03-17,14:00:00,2.6,1389.25,152,13.73529005407188,1108.0,161.0,886.5,123.0,1711.5,1334.0,25.85000038147,0.8503393425785896,Dry,165
2004-03-17,15:00:00,2.0,1207.0,103,10.434474065314543,993.75,135.0,1013.0,104.0,1519.5,1044.75,26.824999809265,0.6500177450710016,Dry,166
2004-03-17,16:00:00,2.9,1365.25,193,15.164068552106674,1153.75,186.0,939.5,129.0,1678.5,1221.25,29.275000095367,0.6308904544623257,Dry,167
